"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: NG HIV EAC Monitoring Register Column Mapping"
"NgHivEacRegister","NgHivEacRegister","","","",0,*,"","","","null {[]} {[]}
","NG HIV Enhanced Adherence Counselling Monitoring Register","Logical model for the patient-level Nigeria Enhanced Adherence Counselling
Monitoring Register. One model instance represents one facility monthly cohort
page and contains repeatable client entries corresponding to printed columns
A1 through A24.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"NgHivEacRegister.identifier","NgHivEacRegister.identifier","","","",1,1,"","","","Identifier {[]} {[]}
","Register identifier","Identifier assigned to the monthly EAC register page or its electronic equivalent.","","","","","","","","","",,,,,"",,,,"NgHivEacRegister.identifier",1,1,"",""
"NgHivEacRegister.facility","NgHivEacRegister.facility","","","",0,1,"","","","Reference {[]} {[CanonicalType[https://fhir-ig.digitalhealth.gov.ng/StructureDefinition/ng-organization]]}
","Facility reference","Reference to the facility maintaining the EAC register, when available.","","","","","","","","","",,,,,"",,,,"NgHivEacRegister.facility",0,1,"",""
"NgHivEacRegister.facilityName","NgHivEacRegister.facilityName","","","",1,1,"","","","string {[]} {[]}
","Facility name","Official name of the facility providing Enhanced Adherence Counselling services.","","","","","","","","","",,,,,"",,,,"NgHivEacRegister.facilityName",1,1,"","","Header: Facility"
"NgHivEacRegister.lga","NgHivEacRegister.lga","","","",1,1,"","","","Coding {[]} {[]}
","LGA","Local Government Area where the facility is located.","","","","","","","","","",,"required","","https://fhir-ig.digitalhealth.gov.ng/ValueSet/ng-lgas-vs","",,,,"NgHivEacRegister.lga",1,1,"","","Header: LGA"
"NgHivEacRegister.state","NgHivEacRegister.state","","","",1,1,"","","","Coding {[]} {[]}
","State","State where the facility is located.","","","","","","","","","",,"required","","https://fhir-ig.digitalhealth.gov.ng/ValueSet/ng-states-vs","",,,,"NgHivEacRegister.state",1,1,"","","Header: State"
"NgHivEacRegister.reportingPeriod","NgHivEacRegister.reportingPeriod","","","",1,1,"","","","Period {[]} {[]}
","Registration month and year","Monthly cohort period. The month should correspond to the month the qualifying viral-load result was received at the facility.","","","","","","","","","",,,,,"",,,,"NgHivEacRegister.reportingPeriod",1,1,"","","Header: Month and Year"
"NgHivEacRegister.entry","NgHivEacRegister.entry","","","",1,*,"","","","BackboneElement {[]} {[]}
","EAC register entry","One patient-level row of the Enhanced Adherence Counselling Monitoring Register.","","","","","","","","","",,,,,"",,,,"NgHivEacRegister.entry",1,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"NgHivEacRegister.entry.id","NgHivEacRegister.entry.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"NgHivEacRegister.entry.extension","NgHivEacRegister.entry.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"NgHivEacRegister.entry.modifierExtension","NgHivEacRegister.entry.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"NgHivEacRegister.entry.subject","NgHivEacRegister.entry.subject","","","",0,1,"","","","Reference {[]} {[CanonicalType[https://fhir-ig.digitalhealth.gov.ng/StructureDefinition/ng-patient]]}
","Patient reference","Reference to the corresponding Nigeria Core Patient resource, when available.","","","","","","","","","",,,,,"",,,,"NgHivEacRegister.entry.subject",0,1,"",""
"NgHivEacRegister.entry.serialNumber","NgHivEacRegister.entry.serialNumber","","","",1,1,"","","","positiveInt {[]} {[]}
","A1 Serial number","Sequential number assigned to the client within the monthly register page.","","","","","","","","","",,,,,"",,,,"NgHivEacRegister.entry.serialNumber",1,1,"","","A1"
"NgHivEacRegister.entry.hospitalNumber","NgHivEacRegister.entry.hospitalNumber","","","",0,1,"","","","string {[]} {[]}
","A2 Hospital number","Facility hospital or unit number assigned to the client.","","","","","","","","","",,,,,"",,,,"NgHivEacRegister.entry.hospitalNumber",0,1,"","","A2"
